message_id,channel_id,external_message_id,message_date,parser_status,symbol,instrument_type,action,message_text
1741,1,28,2020-12-31 15:29:58+00:00,UNSUPPORTED_FORMAT,STARBUCKS,STOCK,BUY,"#Freshview
Starbucks, 106.50 - 31st Dec, 2020
Buy on dips till 100. Tgt open."
1742,1,60,2021-01-05 11:59:23+00:00,VALIDATION_FAILED,LINK/USD,CRYPTO,BUY,"#Freshview - Link/USD @ 14.4, 5th Jan.  
Looking good for 16, 17, 19++"
1748,1,165,2021-01-27 16:26:41+00:00,UNSUPPORTED_FORMAT,UNKNOWN,UNKNOWN,UNKNOWN,"Lets catch some BAT 😄 

#Freshview, BAT, 27th Jan, 2021. 

Go with small qty."
1754,1,280,2021-02-09 05:32:12+00:00,UNSUPPORTED_FORMAT,LET'S DRIVE SOME NANO,CRYPTO,BUY,"#Freshview, 9th Feb, 2021, Crypto.

Let's drive some NANO - 4.25$

Can add on dips also near 3$ if comes. 

Tgt open."
1792,1,927,2021-04-11 14:54:55+00:00,UNSUPPORTED_FORMAT,UNKNOWN,UNKNOWN,BUY,"#Freshview -  11th April, 2021

Those who missed to add HOT can add now at 0.0204$"
1813,1,1491,2021-07-04 13:34:55+00:00,MULTIPLE_RECS,LTC,UNKNOWN,BUY,"#Freshview, 4th July, 2021.

Trading call. 

LTC - 146.  

Can add on dips near 136 also. 
Big breakout on closing above 154. 

SL - 130 on closing basis."
1818,1,1512,2021-07-28 12:21:45+00:00,UNSUPPORTED_FORMAT,LINA .,CRYPTO,BUY,"#Freshview 

Lina 0.04176$, 28th July, 2021.

Can add now in dips. 

Investment pick."
1823,1,1543,2021-08-06 12:16:33+00:00,UNSUPPORTED_FORMAT,ATOM .,CRYPTO,BUY,"#Freshview 

Atom 13.3$, 6th Aug, 2021.

Can add now and in dips also.

Available in wazirx too."
1824,1,1552,2021-08-06 13:33:43+00:00,UNSUPPORTED_FORMAT,6TH AUGUST,CRYPTO,UNKNOWN,"#Freshview 

6th August, 2021. Let's 'BAKE' some new dish. 

2.24$

Available in Binance only."
1829,1,1629,2021-08-21 13:30:15+00:00,UNSUPPORTED_FORMAT,UNKNOWN,UNKNOWN,BUY,"#Freshview , 21st Aug, 2021

Dash 243$.  Can add now and in dips near 200. Tgt double.

Support 180.

Available in Wazirx also."
1831,1,1655,2021-08-28 13:04:22+00:00,UNSUPPORTED_FORMAT,UNKNOWN,UNKNOWN,UNKNOWN,"#Freshview , 28th Aug view.

Penny coin lovers average HOT here. 

 CMP 0.011259$ / 0.86 INR"
1833,1,1686,2021-09-04 06:44:09+00:00,UNSUPPORTED_FORMAT,1INCH,CRYPTO,BUY,"#Freshview, 4th September, 2021

1Inch - 271 INR / 3.60$

Can add now and in dips till 230 INR / 3 $

Tgt open."
1845,1,1996,2021-11-22 16:39:32+00:00,UNSUPPORTED_FORMAT,NEXTERA ENERGY,CRYPTO,UNKNOWN,"#Freshview 
#USstocks 

Nextera Energy, 88.31$, 22nd Nov, 2021.

Tgt open."
1848,1,2061,2021-12-27 08:14:57+00:00,VALIDATION_FAILED,GALA,STOCK,BUY,"#Freshview - 27th Dec, 2021

Gala - 0.5454$

Tgt 0.63, 0.84++

👍"
1850,1,2175,2022-10-30 11:09:12+00:00,VALIDATION_FAILED,ENJ,STOCK,BUY,"#Freshview 

ENJ - 0.4734, 30th Oct.

Tgt 0.56, 0.74++

Support 0.37 on closing basis."
1862,1,2441,2023-11-05 09:14:39+00:00,UNSUPPORTED_FORMAT,UNKNOWN,UNKNOWN,BUY,"#Freshview 

Twt - Trust wallet token 1.36.

Add 50% now and remaining in dips near 1$.

Tgt 2.7++"
1871,1,2510,2023-11-12 16:48:36+00:00,VALIDATION_FAILED,KLAY,STOCK,BUY,"#Freshview 

Klay - 0.164$

Let's do bottom Coining for an immediate tgt of 0.36$++"
1875,1,2554,2023-11-25 07:11:52+00:00,UNSUPPORTED_FORMAT,UNKNOWN,UNKNOWN,UNKNOWN,"#Freshview 

Time for PHB now.. 0.892$

Looking good to reach the channel top. 😊"
1955,1,2905,2024-04-08 10:45:22+00:00,MULTIPLE_RECS,METIS,CRYPTO,BUY,"#Freshview 

Metis - 95.5$, 8th April, 2024.

Falling wedge breakout and looking good for 116, 156++

SL - 80$"
1977,1,3039,2024-07-27 13:20:49+00:00,MULTIPLE_RECS,AR,CRYPTO,UNKNOWN,"#Freshview 
#Crypto
#Binance

AR - 32.5$, 27th July, 2024.

Can be added for the tgt of 36, 48++

SL- 28$"
1984,1,3099,2024-10-07 15:48:45+00:00,MULTIPLE_RECS,FRONTLINE PLC,CRYPTO,UNKNOWN,"#Freshview 
#NYSE

Frontline PLC - 25.3, 7th Oct, 2024.

Go with a small qty for 3 digit tgt. 😊

SL - 20$"
2012,1,3279,2025-01-04 16:42:48+00:00,UNSUPPORTED_FORMAT,COW 🐮,CRYPTO,UNKNOWN,"#Freshview 
#Crypto

Cow 🐮 - 0.99$, 4th Jan, 2025. 

Let's milk it for 1.4++"
2040,1,3539,2025-08-24 16:05:03+00:00,VALIDATION_FAILED,EPT,CRYPTO,BUY,"#Freshview 
#Crypto3.0 

EPT - 0.00476

Beautiful Divergence and looks good for U turn on closing above 0.0056.

Go with small qty for a big move."
2046,1,3571,2025-09-08 13:18:32+00:00,UNSUPPORTED_FORMAT,UNKNOWN,UNKNOWN,UNKNOWN,"#Freshview 
#Crypto3.0 

Link 23.25$

Nice breakout from falling wedge."
